Time 9.97, Process 0, RESUMED
Time 9.97, Process 0, PAUSED
Time 9.97, Process 0, RESUMED
Time 9.97, Process 0, PAUSED
Time 9.97, Process 0, RESUMED
Time 9.97, Process 0, PAUSED
Time 9.97, Process 0, RESUMED
Time 9.97, Process 0, PAUSED
Time 9.97, Process 0, FINISHED
-------------------------------------
Waiting Times:
Process 0: 3.98
Process 1: 2.35
Process 2: 2.17
